# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.0 Build 711 06/05/2020 SJ Lite Edition
# File: E:\fpga\project\designfile_testing\vj.csv
# Generated on: Tue Sep 22 19:36:45 2026

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
LED_config_finished,Output,,,,PIN_U2,,,,,,
LED_dll_locked,Output,,,,PIN_AC4,,,,,,
btn_capture,Input,,,,PIN_Y14,,,,,,
clk_50,Input,,,,PIN_J1,,,,,,
faceBox_done,Output,,,,PIN_AE9,,,,,,
ii_gen_done,Output,,,,PIN_AE15,,,,,,
measure_performance,Output,,,,PIN_Y15,,,,,,
ov7670_data[7],Input,,,,PIN_AH12,,,,,,
ov7670_data[6],Input,,,,PIN_AG12,,,,,,
ov7670_data[5],Input,,,,PIN_AA14,,,,,,
ov7670_data[4],Input,,,,PIN_AC15,,,,,,
ov7670_data[3],Input,,,,PIN_Y12,,,,,,
ov7670_data[2],Input,,,,PIN_AA12,,,,,,
ov7670_data[1],Input,,,,PIN_AF15,,,,,,
ov7670_data[0],Input,,,,PIN_AF14,,,,,,
ov7670_href,Input,,,,PIN_AB14,,,,,,
ov7670_pclk,Input,,,,PIN_AH14,,,,,,
ov7670_pwdn,Output,,,,PIN_G5,,,,,,
ov7670_reset,Output,,,,PIN_E22,,,,,,
ov7670_sioc,Output,,,,PIN_AB2,,,,,,
ov7670_siod,Bidir,,,,PIN_U1,,,,,,
ov7670_vsync,Input,,,,PIN_AD14,,,,,,
ov7670_xclk,Output,,,,PIN_AH22,,,,,,
slide_sw_RESET,Input,,,,PIN_AG14,,,,,,
slide_sw_capture_mode,Input,,,,PIN_J27,,,,,,
slide_sw_resend_reg_values,Input,,,,PIN_J28,,,,,,
subwin_done,Output,,,,PIN_P2,,,,,,
vga_CLK,Output,,,,PIN_AE5,,,,,,
vga_b[7],Output,,,,PIN_AC10,,,,,,
vga_b[6],Output,,,,PIN_AE14,,,,,,
vga_b[5],Output,,,,PIN_AD15,,,,,,
vga_b[4],Output,,,,PIN_AG11,,,,,,
vga_b[3],Output,,,,PIN_AB10,,,,,,
vga_b[2],Output,,,,PIN_AE13,,,,,,
vga_b[1],Output,,,,PIN_AC14,,,,,,
vga_b[0],Output,,,,PIN_AH11,,,,,,
vga_blank_N,Output,,,,PIN_AB13,,,,,,
vga_g[7],Output,,,,PIN_AB15,,,,,,
vga_g[6],Output,,,,PIN_AE16,,,,,,
vga_g[5],Output,,,,PIN_AC11,,,,,,
vga_g[4],Output,,,,PIN_AA16,,,,,,
vga_g[3],Output,,,,PIN_AE17,,,,,,
vga_g[2],Output,,,,PIN_AF16,,,,,,
vga_g[1],Output,,,,PIN_AD11,,,,,,
vga_g[0],Output,,,,PIN_AB16,,,,,,
vga_hsync,Output,,,,PIN_AD12,,,,,,
vga_r[7],Output,,,,PIN_AA13,,,,,,
vga_r[6],Output,,,,PIN_AC12,,,,,,
vga_r[5],Output,,,,PIN_AH18,,,,,,
vga_r[4],Output,,,,PIN_AG19,,,,,,
vga_r[3],Output,,,,PIN_Y13,,,,,,
vga_r[2],Output,,,,PIN_AB12,,,,,,
vga_r[1],Output,,,,PIN_AG18,,,,,,
vga_r[0],Output,,,,PIN_AH19,,,,,,
vga_sync_N,Output,,,,PIN_L23,,,,,,
vga_vsync,Output,,,,PIN_AB11,,,,,,
